,Doctor_Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations
1211,Ms. Archna Gupta,,8 ,Amulya Rehabilitation Center,Yamuna Vihar,Delhi,500,100 
1212,Mr. Jitendra,,6 ,Swasambhav compelet rehabilitation,Shahdara,Delhi,600,100 
1213,Mr. Rajesh Singh Nayal,,13 ,Shristi Child Development And Learning Institute,Vivek Vihar,Delhi,500,100 
1216,Dr. Neelwanti Soni,General Physician,20 ,Apollo Medical  Centre,Kondapur,Hyderabad,600,88 
1217,Dr. P. Ramu,General Physician,27 ,Jayaa Hospital,Miyapur,Hyderabad,500,93 
1218,Dr. Vikram Cheryala,General Physician,12 ,Vicinity Clinics,Kokapet,Hyderabad,600,99 
1219,Dr. N.V. Ramana Rao,General Physician,26 ,Revive Clinics & Fertility Center,Nallagandla,Hyderabad,1000,99 
1220,Dr. Shaeq Mirza,General Physician,17 ,Apollo Hospital,Hyderguda,Hyderabad,600,98 
1221,Dr. Jagadeesh Kumar Kanukuntla,General Physician,16 ,Continental Hospitals,Gachibowli,Hyderabad,800,86 
1222,Dr. Srinivas Jakkinaboina,General Physician,25 ,MedSurge Clinics,Narsingi,Hyderabad,500,75 
1223,Dr. Indira Ramasahayam Reddy,General Physician,36 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,100 
1224,Dr. Sharath Chandra,General Physician,11 ,Health Care 360 Clinics,Santosh Nagar,Hyderabad,800,100 
1225,Dr. S.Bhattacharjee,General Physician,44 ,Apollo Hospital,Secunderabad,Hyderabad,600,89 
1227,Dr. Venkataramana,General Physician,53 ,Practo Hospitals - Neo,Electronics City,Bangalore,700,93 
1228,Dr. Raja Selvarajan,General Physician,17 ,Kaveri Healthcare,Domlur,Bangalore,750,95 
1229,Dr. Neelam Vasudeva,General Physician,11 ,Svasthya Health,HSR Layout,Bangalore,600,94 
1230,Dr. Anusha N D,General Physician,12 ,Shanta Practo Centre for Diabetes & Endocrinology,HSR Layout,Bangalore,700,98 
1231,Dr. Prashant Dinesh,General Physician,21 ,Dr. Prashant's Clinic,Ulsoor,Bangalore,600,98 
1232,Dr. Shivaram HR,General Physician,22 ,Viveks Multi Speciality Clinic & Diagnostics,Kanakpura Road,Bangalore,600,96 
1233,Dr. Leelamohan PVR,General Physician,14 ,Padithem Health Care,HSR Layout,Bangalore,750,90 
1234,Dr. Sunil Havannavar,General Physician,20 ,Manipal Hospital,Sarjapur Road,Bangalore,700,88 
1235,Dr. Dwijendra Prasad,General Physician,22 ,Prakriya Hospitals,Nagasandra,Bangalore,550,81 
1236,Dr. Dhananjay Bhaskarachrar,General Physician,22 ,Dinka Multispeciality Clinic and Center for Diabetes,Bommanahalli,Bangalore,500,96 
1238,Dr. Kalpana B Tiwari,General Physician,12 ,Dr. Tiwari's Clinic,Chembur,Mumbai,700,100 
1239,Dr. Akshay Jain,General Physician,9 ,Health & Beyond,Lower Parel,Mumbai,500,99 
1240,Dr. Rajanshu Tiwari,General Physician,13 ,Dr. Tiwari's Clinic,Chembur,Mumbai,800,94 
1241,Dr. Seema S. Masrani,General Physician,30 ,Dr. Seema S. Masrani's Clinic,Kandivali West,Mumbai,1000,91 
1242,Dr. Rekha Kadam,General Physician,25 ,Docville,Andheri West,Mumbai,800,100 
1243,Dr. Samvaad Shetty,General Physician,11 ,Dr.Samvaad Shetty's Clinic,Andheri East,Mumbai,1200,100 
1244,Dr. Anita Mathew Davis,General Physician,26 ,Fortis Hospital,Mulund West,Mumbai,1500,100 
1245,Dr. Sanjay Shah,General Physician,38 ,Fortis Hospital,Mulund West,Mumbai,1500,88 
1246,Dr. Pankaj Mistry,General Physician,41 ,Keep Fit Clinic,Vileparle East,Mumbai,2000,98 
1247,Dr. Ram Krishna Modi,General Physician,45 ,Fortis Hospital,Mulund West,Mumbai,1500,69 
1250,Dr. Magdum Bathusha,General Physician,9 ,Dr.Rohith's clinic,Pallavaram,Chennai,300,100 
1251,Dr. T. Vijay,General Physician,25 ,Dr. Vijay's Hospital,Mogappair East,Chennai,400,99 
1252,Dr. Kavitha G,General Physician,37 ,Nannalam,Anna Nagar,Chennai,500,98 
1253,Dr. Janani Karthik,General Physician,12 ,Dr. Janani'S Diabetes Clinic,Alwarpet,Chennai,400,98 
1254,Dr. Hariharan V.S,General Physician,20 ,Gleneagles Global Health City,Perumbakkam,Chennai,500,86 
1255,Dr. Thomas George,General Physician,45 ,Chennai Medical Centre,KK Nagar,Chennai,800,92 
1256,Dr. Sridevi Anantharaman,General Physician,23 ,Apollo Speciality Hospital,Vanagaram,Chennai,800,100 
1257,Dr. Anand Gnanaraj,General Physician,31 ,Apollo Speciality Hospital,Vanagaram,Chennai,1200,100 
1258,Dr. T K Shanmugaraj,General Physician,31 ,Apollo Speciality Hospital,Vanagaram,Chennai,800,100 
1259,Dr. Jayashree Sharma,General Physician,26 ,Quality Qure Ladies Speciality Clinic,Kodambakkam,Chennai,650,99 
1261,Dr. Amit Sakaria,General Physician,19 ,Prudent International Health Clinic,Kalyani Nagar,Pune,600,94 
1262,Dr. Avdhut G. Bodamwad,General Physician,11 ,Lopmudra Multi-speciality Hospital,Pirangut,Pune,400,97 
1263,Dr. Manisha A Gosavi,General Physician,32 ,Arogya Clinic,Vishrantwadi,Pune,500,97 
1264,Dr. Pankaj Changedia,General Physician,24 ,"Mamata Maternity & Heart , Diabetis Care Center",Kharadi,Pune,500,92 
1265,Dr. Nachiket Mahindrakar,General Physician,16 ,We Heal Clinic,Baner,Pune,1100,95 
1266,Dr. Shruti Goswami,General Physician,11 ,Shree Ram Clinic,Haveli,Pune,500,98 
1267,Dr. Ravindra Chhajed,General Physician,28 ,Harsh Hospital,Market Yard,Pune,700,98 
1268,Dr. Shilpa Dane,General Physician,18 ,Dev Clinic,Pimpri-Chinchwad,Pune,500,83 
1269,Dr. Amol L Dange,General Physician,19 ,Lifetree Healthcare And  Diagnostics,Wakad,Pune,600,90 
1270,Dr. Milind Kulkarni,General Physician,18 ,Kulkarni Clinic,Vishrantwadi,Pune,600,95 
1272,Dr. Amarpreet Singh Riar,General Physician,10 ,Aman Medical Clinic,Dwarka,Delhi,1000,96 
1273,Dr. Sunny Sehgal,General Physician,13 ,People's Health Care,Laxmi Nagar,Delhi,500,95 
1274,Dr. Pankaj Kumar,General Physician,16 ,Diet Plus Minus,Dwarka Sector 9,Delhi,700,96 
1275,Dr. Pramila Srivastava,General Physician,42 ,Dr. Srivastava's Clinic,Defence Colony,Delhi,500,88 
1276,Dr. Yatin Kukreja,General Physician,20 ,Kukreja Healthcare Clinic,Lajpat Nagar 4,Delhi,700,98 
1277,Dr. Sanchayan Roy,General Physician,25 ,Health First Wellness Centre,CR Park,Delhi,800,90 
1278,Dr. Rachna Kucheria,General Physician,31 ,Kucheria Clinic,Greater Kailash Part 1,Delhi,1600,95 
1279,Dr. Paru Sharma,General Physician,31 ,Dr. Paru Sharma's Clinic,Dwarka Sector 13,Delhi,600,98 
1280,Dr. Jay Kirtani,General Physician,26 ,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,1000,90 
1281,Dr. K.S. Walia,General Physician,49 ,Walia Medical and Maternity Centre,Sarita Vihar,Delhi,600,90 
1284,Dr. Chetan Raj,Homoeopath,12 ,Dr. Chetan's Homeo Clinics,Begumpet,Hyderabad,51,97 
1285,Dr. Srinivas Jakkinaboina,General Physician,25 ,MedSurge Clinics,Narsingi,Hyderabad,500,75 
1286,Dr. Mithil B Ghushe,,20 ,Medicover Hospitals,Hitech City,Hyderabad,500,92 
1287,Dr. K Sandeep Reddy,General Physician,15 ,Pro Health Multispecialty Clinic,Manikonda,Hyderabad,500,78 
1288,Dr. Usha Rani,,32 ,Aster Prime Hospital,Ameerpet,Hyderabad,600,91 
1289,Dr. Taheer Shaik,,17 ,Apollo Cradle & Children’s Hospital,Kondapur,Hyderabad,700,100 
1290,Dr. L Sunandhini,General Physician,26 ,Aster Prime Hospital,Ameerpet,Hyderabad,600,94 
1291,Dr. Suneetha Narreddy,,26 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1500,100 
1292,Dr. Ravinder Raju,Homoeopath,25 ,Positive Homeopathy,Kukatpally,Hyderabad,300,71 
1293,Dr. Panchagnula Satyanarayana Murthy,Homoeopath,30 ,Positive Homeopathy,Kachiguda,Hyderabad,300,100 
1295,Dr. Venkataramana,General Physician,53 ,Practo Hospitals - Neo,Electronics City,Bangalore,700,93 
1296,Dr. Raja Selvarajan,,17 ,Kaveri Healthcare,Domlur,Bangalore,750,95 
1297,Dr. Neelam Vasudeva,General Physician,11 ,Svasthya Health,HSR Layout,Bangalore,600,94 
1298,Dr. Anusha N D,,12 ,Shanta Practo Centre for Diabetes & Endocrinology,HSR Layout,Bangalore,700,96 
1299,Dr. Sharat Honnatti,General Physician,20 ,United Medical Center,HSR Layout,Bangalore,750,96 
1300,Dr. Tejas Suresh Rao,,13 ,Manipal Hospitals Yeshwanthpur,Yeshwanthpur,Bangalore,850,95 
1301,Dr. B Rajashekar,,36 ,Six Face Clinic,Indiranagar,Bangalore,600,84 
1302,Dr. S M Fayaz,,12 ,Hopewell Multispeciality Clinic,Kadugodi,Bangalore,600,97 
1303,Dr. Munavvar Sultana Shaikh,Homoeopath,29 ,MS Homeopathic Medical Centre,Koramangala 6 Block,Bangalore,650,96 
1304,Dr. Prabha Ramadorai,General Physician,25 ,Nano Hospitals,Hulimavu,Bangalore,500,89 
1306,Dr. Vilas Kulkarni,,53 ,Kulkarni Hospital,Andheri West,Mumbai,1000,97 
1307,Dr. Yuvaraja S Shetty,,18 ,Dr. Yuvaraja S Shetty Child Health Center and Polyclinic,Mulund West,Mumbai,1000,99 
1308,Dr. Saadan  Shahid,Homoeopath,25 ,Dr Batra's Positive Health Clinic Pvt Ltd,Lokhandwala,Mumbai,450,100 
1309,Dr. Anita Mathew Davis,General Physician,26 ,Fortis Hospital,Mulund West,Mumbai,1500,100 
1310,Dr. Bhupendra S Avasthi,,43 ,Surya Hospitals,Santacruz West,Mumbai,2000,92 
1311,Dr. Sanjay Shah,General Physician,38 ,Fortis Hospital,Mulund West,Mumbai,1500,88 
1312,Dr. Ram Krishna Modi,General Physician,45 ,Fortis Hospital,Mulund West,Mumbai,1500,69 
1313,Dr. Pradip Padamsi Shah,General Physician,43 ,Fortis Hospital,Mulund West,Mumbai,1500,69 
1314,Dr. Jesal Seth,,24 ,Fortis Hospital,Mulund West,Mumbai,1300,100 
1315,Dr. Sameer Sadawarte,,23 ,Fortis Hospital,Mulund West,Mumbai,1300,100 
1318,Dr. Kavitha G,General Physician,37 ,Nannalam,Anna Nagar,Chennai,500,98 
1319,Dr. B Benjamin,,50 ,Fortis Malar Hospital,Adyar,Chennai,600,100 
1320,Dr. Vinod Prem Anand,,23 ,Fortis Malar Hospital,Adyar,Chennai,700,100 
1321,Dr. Pravin K Aggarwal,General Physician,42 ,Fortis Malar Hospital,Adyar,Chennai,700,86 
1322,Dr. M Divya,,12 ,Dr. Mehta's Hospitals,Chetpet,Chennai,500,100 
1323,Dr. Sheethal Suresh,General Physician,30 ,Fortis Malar Hospital,Adyar,Chennai,500,82 
1324,Dr. Vincent Thamburaj,General Physician,47 ,Apollo Cancer Centres Chennai,Teynampet,Chennai,1000,100 
1325,Dr. Radhalakshmi,,25 ,Apollo Children's Hospitals,Thousand Lights,Chennai,700,99 
1326,Dr. G. Prabhakaran,,50 ,Fortis Malar Hospital,Adyar,Chennai,600,86 
1327,Dr. Nidhi Dube,Homoeopath,14 ,Dr Batra's Positive Health Clinic Pvt Ltd,Velachery,Chennai,450,100 
1329,Dr. Sumedh Giri,,21 ,G K Care Clinic,Kharadi,Pune,500,97 
1330,Dr. Mahesh M Lakhe,General Physician,20 ,Dr Lakhe's Healthcare and Research Centre,Kharadi,Pune,999,92 
1331,Dr. Vaseem Choudhary,Homoeopath,14 ,Homeo Care Clinic,Hadapsar,Pune,300,93 
1332,Dr. Deepesh Gaikwad,Homoeopath,16 ,Healthmate Homeopathy,Pimple Saudagar,Pune,600,98 
1333,Dr. Chandrashekhar Vasant Phadnis,,25 ,AV Children and Multispeciality Clinic,Aundh,Pune,500,94 
1334,Dr. Amol L Dange,General Physician,19 ,Lifetree Healthcare And  Diagnostics,Wakad,Pune,600,90 
1335,Dr. Rutika Khelkar,Homoeopath,31 ,Dr Rutika Khelkar Homeopathy Clinic,Aundh,Pune,500,93 
1336,Dr. Neelam Gote,,12 ,HealthyBuds - Children Clinic and Vaccination Centre,Pimple Saudagar,Pune,400,98 
1337,Dr. Jyoti Gulati,General Physician,38 ,Gulati's Clinic,Aundh,Pune,900,96 
1338,Dr. Amit Sakaria,,19 ,Prudent International Health Clinic,Kalyani Nagar,Pune,600,94 
1340,Dr. Manish Chopra,,23 ,Chopra Child Clinic,Janakpuri,Delhi,800,98 
1341,Dr. K.S. Walia,General Physician,49 ,Walia Medical and Maternity Centre,Sarita Vihar,Delhi,600,90 
1342,Dr. Tina Goel,,22 ,Kare N Kure Child Clinic,Dwarka,Delhi,700,97 
1343,Dr. Vishal Vaidya,,23 ,The Milestone Child Clinic,Dwarka,Delhi,800,98 
1344,Dr. Pankaj Kumar,General Physician,16 ,Diet Plus Minus,Dwarka Sector 9,Delhi,700,96 
1345,Dr. Monica Mahajan,,29 ,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,2000,98 
1346,Dr. Jeevanjyot Bahia,General Physician,31 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,800,86 
1347,Dr. Ritesh Gupta,,28 ,Fortis C-DOC Hospital,Nehru Place,Delhi,1500,95 
1348,Dr. Saumya Rathi,General Physician,11 ,Dr. Saumya Rathi Clinic,Shakti Nagar,Delhi,600,100 
1349,Dr. Pawan Kumar,,22 ,Rainbow Hospitals - Malviya Nagar,Malviya Nagar,Delhi,1200,99 
1350,Dr. Sashikanth.J,Ear-Nose-Throat (ENT),23 ,Citizens Speciality Hospitals,Lingampally,Hyderabad,800,88 
1352,Dr. Anithakumari AM,Ear-Nose-Throat (ENT),27 ,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,900,93 
1353,Dr. Prateek Nayak,Ear-Nose-Throat (ENT),19 ,Aster CMI Hospital,Hebbal,Bangalore,1000,83 
1354,Dr. Girish Rai B,Ear-Nose-Throat (ENT),33 ,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,900,34 
1355,Dr. Sunil Narayan Dutt,Ear-Nose-Throat (ENT),34 ,Apollo Hospital,Bannerghatta Road,Bangalore,850,84 
1356,Dr. Shalina Ray,Ear-Nose-Throat (ENT),24 ,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,900,88 
1357,Dr. Sumit Kumar Gaur,Ear-Nose-Throat (ENT),13 ,Apollo Hospital,Bannerghatta Road,Bangalore,850,67 
1358,Dr. Bathi Reddy,Ear-Nose-Throat (ENT),41 ,Manipal Hospitals Old Airport Road,Old Airport Road,Bangalore,900,45 
1359,Dr. Manohar Shaan,Ear-Nose-Throat (ENT),32 ,Nanavati Super Speciality Hospital,Vileparle West,Mumbai,1200,95 
1360,Dr. Agneesh Patial,Ear-Nose-Throat (ENT),20 ,Nanavati Super Speciality Hospital,Vileparle West,Mumbai,1300,84 
1361,Dr. Amol Patil,Ear-Nose-Throat (ENT),19 ,Nanavati Super Speciality Hospital,Vileparle West,Mumbai,1000,97 
1362,Dr. Tejas Baijal,Ear-Nose-Throat (ENT),18 ,Sahyadri Hospital,Kothrud,Pune,300,90 
1364,Dr. Anurag Tandon,Ear-Nose-Throat (ENT),34 ,Max Super Speciality Hospital,Patparganj,Delhi,1200,56 
1365,Dr. Anuj Singhal,Ear-Nose-Throat (ENT),31 ,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,1500,83 
1366,Dr. Gita Gangadharan Shrivastav,Ear-Nose-Throat (ENT),35 ,Max Super Speciality Hospital,Patparganj,Delhi,1000,80 
1367,Dr. Sumit Mrig,Ear-Nose-Throat (ENT),21 ,Max Smart Superspeciality Hospital,Saket,Delhi,1500,85 
1368,Dr. Vineet Narula,Ear-Nose-Throat (ENT),16 ,Max Smart Superspeciality Hospital,Saket,Delhi,1300,91 
1369,Dr. Mala Bhattacharjee,Ear-Nose-Throat (ENT),28 ,Max Super Speciality Hospital,Patparganj,Delhi,800,100 
1370,Dr. Deepti Sinha,Ear-Nose-Throat (ENT),23 ,Max Super Speciality Hospital,Shalimar Bagh,Delhi,1000,100 
1371,Dr. D Jijina,Ear-Nose-Throat (ENT),43 ,Max Super Speciality Hospital - Saket East Wing,Saket,Delhi,1500,94 
1372,Dr. Ashok Singh,Ear-Nose-Throat (ENT),21 ,Max Super Speciality Hospital,Patparganj,Delhi,700,82 
1373,Dr. Sharad Maheswari,Ear-Nose-Throat (ENT),41 ,Max Super Speciality Hospital,Patparganj,Delhi,800,63 
1376,Dr. Arun Kumar Nadimpalli,,24 ,Practo Care Surgeries,Somajiguda,Hyderabad,700,94 
1377,Dr. Kaushik B K,,10 ,Practo Care Surgeries,SR Nagar,Hyderabad,500,67 
1378,Dr. Ajay Kumar Tiwari,,21 ,Practo Care Surgeries,Somajiguda,Hyderabad,600,100 
1379,Dr. Mir Jawad Zar Khan,,22 ,Germanten Hospitals,Attapur,Hyderabad,750,97 
1380,Dr. Smaranika Das   (Physiotherapist),,13 ,Curamos Physiotherapy-Diet Clinic,Nallagandla,Hyderabad,500,98 
1381,Dr. Anjali Agarwal   (Physiotherapist),,24 ,Ambicare Clinics,Kondapur,Hyderabad,300,96 
1382,Dr. M.Ranganath Reddy,,20 ,Neo Asian Clinics,Kondapur,Hyderabad,700,95 
1383,Dr. Bharath Gandhi Reddy J   (Physiotherapist),,13 ,Allocare Physiotherapy,Gachibowli,Hyderabad,700,97 
1384,Dr. Anusha Tanagala   (Physiotherapist),,7 ,Activelife Physiotherapy And Rehabilitation Centre,KPHB,Hyderabad,300,100 
1385,Dr. M Naveen Chandar Reddy,,23 ,Dr Naveen Reddy's Orthopedic Clinic,Kondapur,Hyderabad,600,96 
1388,Dr. B A Gopala Krishna,,22 ,Practo Care Surgeries,Banashankari 2nd Stage,Bangalore,600,97 
1389,Dr. Shashidhar V.,,19 ,Practo Care Surgeries,Yelenahalli,Bangalore,1000,96 
1390,Dr. Sharath Kumar Shetty,,22 ,Practo Care Surgeries,HSR Layout,Bangalore,999,89 
1391,Dr. Saraswati Viswanathan,,15 ,Brains Super Speciality Hospital,Jayanagar,Bangalore,750,100 
1392,Dr. Srivatsa Subramanya,,16 ,Vasavi Hospital,Kumaraswamy Layout,Bangalore,650,100 
1393,Dr. Radhakrishna V N,,17 ,People Tree Hospitals,Yeshwanthpur,Bangalore,500,97 
1394,Dr. Srikanth K P,,20 ,People Tree Hospitals,Yeshwanthpur,Bangalore,500,99 
1395,Dr. Jagadeesh,,25 ,Aasra Hospital,Jayanagar,Bangalore,800,89 
1396,Dr. Ravi Prakash Y,,18 ,People Tree Hospitals,Yeshwanthpur,Bangalore,500,99 
1397,Dr. Archita Tiwari   (Physiotherapist),,6 ,Rehabics Physiotherapy,Koramangala 6 Block,Bangalore,500,99 
1400,Dr. Nikhil Agrawal,,21 ,Practo Care Surgeries,Malad West,Mumbai,1000,67 
1401,Dr. Santosh Patil,,20 ,Practo Care Surgeries,Tilak Nagar,Mumbai,1000,100 
1402,Dr. Sanjeed C Pujary,,16 ,Practo Care Surgeries,Andheri West,Mumbai,1500,100 
1403,Dr. Kruti Harsh Mehta   (Physiotherapist),,14 ,Healing Hands Physiotherapy,Vikhroli,Mumbai,400,100 
1404,Dr. Pooja Vora Jhonsa   (Physiotherapist),,22 ,Physigo,Ghatkopar East,Mumbai,700,100 
1405,Dr. Zahabia Basrai   (Physiotherapist),,14 ,Enliven Therapy Centre,Hajiali,Mumbai,1500,100 
1406,Dr. Priyanka Sukthankar   (Physiotherapist),,15 ,Dr Priyanka's Physiowellness Physiotherapy clinic.,Andheri East,Mumbai,700,99 
1407,Dr. Dinesh Kumar Joshi   (Physiotherapist),,7 ,Dr. joshi's Physiotherapy clinic,Goregaon West,Mumbai,800,100 
1408,Dr. Priya Karande   (Physiotherapist),,11 ,Dr. Priya's Walk Again Neuro Rehab Center,Parel,Mumbai,500,100 
1409,Dr. Ushma Bhojani   (Physiotherapist),,13 ,World Of Wellness,Malad West,Mumbai,1000,100 
1411,Dr. Ramkumar Ponraj,,12 ,Practo Care Surgeries,Neelankarai,Chennai,600,100 
1412,Dr. Dinesh Mohan Choudary,,15 ,Practo Care Surgeries,Aminjikarai,Chennai,500,100 
1413,Dr. Ranjith,,21 ,Apollo Speciality Hospital,Vanagaram,Chennai,1000,96 
1414,Dr. R. Harish Kumar   (Physiotherapist),,18 ,Sai Healthcare Foundation,Mylapore,Chennai,500,99 
1415,Dr. K. Sivaramakrishnan   (Physiotherapist),,13 ,Energy Clinic (Formerly Re-Align Clinic),Alwarthirunagar,Chennai,300,99 
1416,Dr. S Devarajan   (Physiotherapist),,28 ,Sri Krishna Physiotherapy Centre,Adyar,Chennai,500,100 
1417,Dr. S Sivabalan   (Physiotherapist),,15 ,BEE Health Studio,Thiruvanmiyur,Chennai,500,98 
1418,Dr. Senthil Kamalasekaran,,28 ,CHENNAI ORTHO CLINIC,Thoraipakkam,Chennai,1000,98 
1419,Dr. K P Kosygan,,31 ,Apollo Hospital,Greams Road,Chennai,1000,98 
1420,Dr. Sudha   (Physiotherapist),,14 ,Bhavisha Physiotherapy Clinic,Porur,Chennai,250,98 
1423,Dr. Swaroop Solunke,,14 ,Practo Care Surgeries,Wakad,Pune,800,98 
1424,Dr. Soumya Suravita Nanda   (Physiotherapist),,9 ,Dr Soumya's Physiotherapy & Rehab,Wakad,Pune,500,99 
1425,Dr. Naziya Bagwan   (Physiotherapist),,16 ,Impact Physiotherapy and Weight Loss Clinic,Viman Nagar,Pune,600,100 
1426,Dr. Shruti Rajore   (Physiotherapist),,13 ,Dr Shruti's Realign Physiotherapy Clinic,Kharadi,Pune,500,99 
1427,Dr. Anuja Reddy   (Physiotherapist),,14 ,Dr. Anuja's Physiotherapy Clinic,Kharadi,Pune,400,96 
1428,Dr. Megha Mehta   (Physiotherapist),,8 ,HighWorth,Hadapsar,Pune,600,99 
1429,Dr. Alifia Cementwala   (Physiotherapist),,26 ,Healing Touch Multispeciality Clinic ,Viman Nagar,Pune,800,97 
1430,Dr. Jagdish Dhake,,10 ,Asperia Specialty Clinic,Bibvewadi,Pune,600,100 
1431,Dr. Preeti Dubbewar   (Physiotherapist),,18 ,Ashtavinayak Physiotherapy Clinic,Hinjewadi,Pune,250,97 
1432,Dr. Shashank Behere,,23 ,Lifeline Hospital,Aundh,Pune,600,98 
1435,Dr. Madhur Mahna,,13 ,Practo Care Surgeries,Rajouri Garden,Delhi,600,89 
1436,Dr. Parvinder Singh Arora,,17 ,Practo Care Surgeries,Dwarka Sector 19,Delhi,1000,100 
1437,Dr. Om Prakash Gupta,,18 ,Practo Care Surgeries,Dwarka Sector 19,Delhi,1000,73 
1438,Dr. Vimal Kumar Dakour,,19 ,Practo Care Surgeries,Lajpat Nagar,Delhi,600,97 
1439,Dr. Sumit Thapar   (Physiotherapist),,9 ,Back in Motion Physiotherapy and Chiropractor Clinic,Greater Kailash Part 1,Delhi,1200,94 
1440,Dr. Ashish Taneja,,19 ,Delhi Bone And Joint Clinic,Janakpuri,Delhi,800,97 
1441,Dr. Deepak Arora,,17 ,Max Super Speciality Hospital,Patparganj,Delhi,800,100 
1442,Dr. Amite Pankaj Aggarwal,,26 ,Fortis Hospital,Shalimar Bagh,Delhi,1200,96 
1443,Dr. G K Agarwal,,49 ,Fortis Hospital,Shalimar Bagh,Delhi,1200,100 
1444,Dr. Puneet Mishra,,23 ,Fortis Hospital,Shalimar Bagh,Delhi,1000,100 
1446,Dr. Sameer A.Mahendra,Dentist,24 ,Udai Omni Hospital,Chapel Road,Hyderabad,700,100 
1447,Dr. Sushma Reddy,Dentist,22 ,Clove Dental,Jubilee Hills,Hyderabad,750,86 
1448,Dr. Jahnavi,Dentist,7 ,Clove Dental,Kukatpally,Hyderabad,500,100 
1449,Dr. Sneha Mary Mathew,Dentist,13 ,Clove Dental,Vikrampuri Colony,Hyderabad,500,100 
1450,Dr. P.Vijaya Kumar,Dentist,15 ,Clove Dental,Vikrampuri Colony,Hyderabad,500,100 
1451,Dr. Vadiraj,Dentist,15 ,Clove Dental,Vikrampuri Colony,Hyderabad,500,67 
1452,Dr. Velide Sharada,Dentist,10 ,Clove Dental,AS Rao Nagar,Hyderabad,500,100 
1453,Dr. Shehnaz Banu,Dentist,14 ,Clove Dental,Attapur,Hyderabad,500,100 
1454,Dr. Divya,Dentist,10 ,Clove Dental,Miyapur,Hyderabad,500,100 
1455,Dr. Bilquis Begum,Dentist,13 ,Clove Dental,Manikonda,Hyderabad,500,100 
1457,Dr. T. Ramakrishna,Dentist,25 ,Dental Profiles Clinic,JP Nagar 7 Phase,Bangalore,500,95 
1458,Dr. Sumanth Shetty,Dentist,24 ,Chisel Dental,Koramangala,Bangalore,500,97 
1459,Dr. Rashmi Shetty,Dentist,18 ,Chisel Dental,Koramangala,Bangalore,500,99 
1460,Dr. Pramod,Dentist,19 ,Dental De Care,Domlur,Bangalore,500,98 
1461,Dr. Jaswanth Reddy,Dentist,17 ,SSR Multispeciality Dental Clinic,Marathahalli,Bangalore,500,96 
1462,Dr. Krishnanand,Dentist,12 ,Royal Smiles Multi Speciality Dental and Facial Aesthetics Centre,Varthur,Bangalore,200,100 
1463,Dr. Mallayya R. Pujari,Dentist,17 ,I Smile Dental Care - Mahadevapura,Mahadevapura,Bangalore,500,96 
1464,Dr. Subash,Dentist,30 ,Achala Dental Clinic & Implant Centre,Sarjapur Road,Bangalore,500,92 
1465,Dr. Arati Sundar Rajan,Dentist,27 ,Toothwala,Basavanagudi,Bangalore,500,97 
1466,Dr. Sujay Gopal,Dentist,16 ,Sujay's Dental Care,Banashankari 3rd Stage,Bangalore,500,97 
1468,Dr. Ankita Chauhan,Dentist,12 ,Sharan Hospital,Ghatkopar West,Mumbai,600,100 
1469,Dr. Deepkriti Gupta,Dentist,15 ,Shreeji Eye Clinic & Dental Care Centre,Mira Road,Mumbai,500,95 
1471,Dr. Aarthi Praveen,Dentist,17 ,Dr Aarthi Dental Care Medinspire,Navalur,Chennai,500,100 
1472,Dr. M.Srikanth,Dentist,22 ,Smile Solutions Family Dentistry,Chromepet,Chennai,500,98 
1473,Dr. Prem Kumar,Dentist,16 ,Just Smile Dental & ENT Specialities,Madipakkam,Chennai,500,97 
1474,Dr. M. Suresh,Dentist,11 ,M.S Multi Speciality Dental Clinic,Perumbakkam,Chennai,500,99 
1475,Dr. Balajee. J,Dentist,11 ,Elite Dentistry,Anna Nagar West,Chennai,500,100 
1476,Dr. Mareeswari,Dentist,15 ,A2Z Dental Care,Pallikaranai,Chennai,500,99 
1477,Dr. Sunil Chandy,Dentist,15 ,Kings Dental Care,Rajakilpakkam,Chennai,500,100 
1478,Dr. V.K.Vignesh,Dentist,7 ,VIGNESH'S DENTAL ZONE,Gowrivakkam,Chennai,150,100 
1479,Dr. D.Ramyaa Karthies,Dentist,11 ,Confi Dental Smilez,Keelkattalai,Chennai,500,99 
1480,Dr. Ajay Mohan,Dentist,14 ,"Impressions Dental, Cosmetic, Craniofacial Centre",Mylapore,Chennai,500,100 
1481,Dr. Meru Sethi,Dentist,23 ,Clove Dental,Viman Nagar,Pune,500,100 
1482,Dr. Desh Dixchha,Dentist,10 ,Clove Dental,Wanowrie,Pune,500,100 
1483,Dr. Akshay Raut,Dentist,16 ,Noble Hospital,Hadapsar,Pune,150,100 
1484,Dr. Dayanand Shirol,Dentist,25 ,Noble Hospital,Hadapsar,Pune,300,100 
